temperature,energy,Cv
0.1,-467.7650753151905,49.32759833900491
0.1,-468.3611861263008,13.699579166132024
0.1749999999999999,-460.229116303407,52.126507966171
0.2,-461.2260667357024,67.7057156644878
0.2249999999999999,-453.4059120088273,31.27521240313388
0.2749999999999999,-450.8203830109133,38.87695049566858
0.2999999999999999,-446.8076336844064,60.766988696155366
0.3,-439.87071786873565,109.53718436309526
0.3249999999999999,-441.6487575031936,19.070127635047992
0.35,-442.3587044425281,57.883224734675366
0.3999999999999999,-430.72592570085993,51.67448566644454
0.4,-431.9289462509352,56.463752016134094
0.4499999999999999,-426.06948771921833,47.22123262429334
0.5,-417.6739399637914,90.35973588161868
0.5,-417.7176877991351,117.39692804042716
0.5249999999999999,-417.9211981132967,43.3643736064544
0.55,-409.5507599225949,82.76060657467008
0.55,-409.669559596469,67.44962861051414
0.575,-409.5226073996686,84.51526869715163
0.6,-406.6383206545606,95.25672647153746
0.625,-409.7872751847535,79.30455121517183
0.6499999999999999,-398.89347876291663,120.59464060953552
0.65,-397.5994239117662,105.75278871796048
0.675,-398.6659531963623,169.3691781946855
0.7,-391.4305382891935,72.20564422287327
0.7,-388.6056248726984,68.01901581924058
0.725,-390.0193510553591,116.01093189151877
0.75,-381.5845371044896,99.97132406994284
0.775,-379.4223833670416,139.6137117386411
0.8,-360.7131537449647,71.29383012222661
0.825,-370.5794200428121,68.33309724005889
0.85,-364.0009237990184,162.5064449994277
0.85,-363.5622345096813,164.5511736824648
0.875,-365.93487168325527,81.6443294526591
0.9,-374.67221588865806,51.662641878665234
0.925,-357.12615479711883,74.44780872263273
0.95,-323.40686662073995,284.20336496064283
0.95,-353.2305968742303,100.5238935807681
1.0,-305.360362088608,122.865735434214
1.05,-295.24199997147457,162.8924985112128
1.1,-295.0191115353908,48.506478705488654
1.15,-274.9167044108951,116.14728487140302
1.2,-248.7790812888964,71.95811799575597
1.3,-250.72541175959944,62.828083574139335
1.4,-232.90007222688897,118.4484588210079
1.5,-181.244898248984,105.35455859178586
1.6,-198.77493117431564,132.79417223656367
1.7,-179.96536279785363,87.64373229659051
1.8,-147.72144644758143,85.111009809966
1.9,-144.70074393594098,51.763671648774185
2.0,-123.46307869413202,66.39403848706934
2.1,-133.45182376103762,49.92257539472818
2.2,-124.07091732781612,74.68668692137409
2.3,-117.28776597412588,29.87739693864143
2.4,-103.1790011595444,24.108028120183647
2.5,-93.25645224821622,46.00026532798657
2.6,-100.651718959836,22.27630137841924
2.7,-95.22111583186926,46.29567111206112
2.8,-90.93144411147694,20.53512471119696
2.9,-92.01520904142969,30.890190860584504
3.0,-92.20159343336664,24.220840509868943
3.1,-80.88630931157188,19.434551797312206
3.2,-76.3620752977653,32.33367242561842
3.3,-73.02566808507174,27.71567613261256
3.5,-70.39842866875856,17.13432549000342
