,gamma,sample_rate,relative_error
0,0.2,0.0745909090909091,0.7903755811372629
1,0.4,0.1345909090909091,0.655448435201634
2,0.6000000000000001,0.23831818181818182,0.5678575807003327
3,0.8,0.2665,0.5660846611896942
4,1.0,0.3194090909090909,0.5509420844146267
5,1.2,0.3492272727272727,0.4186808862563623
6,1.4000000000000001,0.3075909090909091,0.21355520601637246
7,1.6,0.3160909090909091,0.10942206219018659
8,1.8,0.27645454545454545,0.35259301422255024
9,2.0,0.3009545454545455,0.28239737966967443
10,2.2,0.31627272727272726,0.34037087631782664
11,2.4000000000000004,0.31372727272727274,0.2420832357506409
12,2.6000000000000005,0.30354545454545456,0.20556764200977914
13,2.8000000000000003,0.2932727272727273,0.37460185423380704
14,3.0000000000000004,0.2948636363636364,0.1591294375637672
15,3.2,0.29722727272727273,0.06233756502942099
16,3.4000000000000004,0.30177272727272725,0.1825954403071361
17,3.6000000000000005,0.30613636363636365,0.2025462403260436
18,3.8000000000000003,0.30836363636363634,0.304387009155128
19,4.0,0.31713636363636366,0.17635322616509105
20,4.2,0.3296818181818182,0.16555019675325588
21,4.4,0.3356818181818182,0.07849106164967228
22,4.6000000000000005,0.3450909090909091,0.13436863481952976
23,4.800000000000001,0.3543181818181818,0.20420721195437253
24,5.0,0.3639090909090909,0.12200648477657516
25,5.5,0.38995454545454544,0.13012277735431946
26,6.0,0.42418181818181816,0.0786772834859912
27,6.5,0.45186363636363636,0.03256383716917553
28,7.0,0.4727272727272727,0.04541060832275415
29,7.5,0.4964545454545455,0.02870512340139185
30,8.0,0.5156363636363637,3.897666427358596e-05
31,8.5,0.5390454545454545,0.017494359527183947
32,9.0,0.5537272727272727,0.009465933295218006
33,9.5,0.5681818181818182,0.013132405422294054
34,10.0,0.5769090909090909,0.011039880130334091
35,10.5,0.5896363636363636,0.01256589834289813
36,11.0,0.5944545454545455,0.007941371452483241
37,11.5,0.5984545454545455,0.009332421542946494
38,12.0,0.5973181818181819,0.03293631811322998
39,12.5,0.6008181818181818,0.012076667773866056
40,13.0,0.5994545454545455,0.019846345561235483
41,13.5,0.5961363636363637,0.02166784990108401
42,14.0,0.5941363636363637,0.03360211350580795
43,14.5,0.5866818181818182,0.014639905204960415
44,15.0,0.5828636363636364,0.017392443080090518
45,15.5,0.5785,0.025835414588945425
46,16.0,0.5751363636363637,0.025401611751418567
47,16.5,0.5717272727272728,0.018727988279439483
48,17.0,0.5671818181818182,0.018693624617842037
49,17.5,0.5636818181818182,0.02966511323361054
50,18.0,0.5584090909090909,0.04478458208253006
51,18.5,0.5508181818181819,0.019316363077351184
52,19.0,0.5492272727272727,0.019837982841936212
53,19.5,0.5425,0.01597080714401776
54,20.0,0.5367727272727273,0.015217655254906148
55,20.5,0.5325,0.0017253354507727654
56,21.0,0.5199545454545454,0.01078725939742616
57,21.5,0.5151363636363636,0.01688937432273146
58,22.0,0.5085909090909091,0.007257710682861863
59,22.5,0.5019545454545454,0.013396896350283072
60,23.0,0.49677272727272725,0.00823652833148003
61,23.5,0.4939545454545455,0.008974136426582686
62,24.0,0.4868636363636364,0.00796854734642712
63,24.5,0.484,0.0009664066287328805
64,25.0,0.4706818181818182,0.0152276934559481
65,25.5,0.4660909090909091,0.016351827267881685
66,26.0,0.4592272727272727,0.032051925705069095
67,26.5,0.45445454545454544,0.018125715904170017
68,27.0,0.45554545454545453,0.016756455676380868
69,27.5,0.4486818181818182,0.028354756879434204
70,28.0,0.44363636363636366,0.031898575019577616
71,28.5,0.43863636363636366,0.023914411370434548
72,29.0,0.43386363636363634,0.033690295895278846
73,29.5,0.43004545454545456,0.05886057515134308
74,30.0,0.428,0.0389657165545242
75,30.5,0.42322727272727273,0.03804514227463171
76,31.0,0.4177272727272727,0.04245133285589079
77,31.5,0.4104090909090909,0.002533068239751499
78,32.0,0.4040909090909091,0.009016673333779066
79,32.5,0.4008181818181818,0.010552753944480544
80,33.0,0.39740909090909093,0.006629216443637947
81,33.5,0.39840909090909093,0.014028493069321968
82,34.0,0.3960909090909091,0.00419833164101983
83,34.5,0.39136363636363636,0.004669630542809876
84,35.0,0.38695454545454544,0.005956950234555534
85,35.5,0.3821818181818182,0.007283805754122043
86,36.0,0.37722727272727274,0.006395139626872314
87,36.5,0.3745909090909091,0.025054737883078895
88,37.0,0.36836363636363634,0.02386706566707275
89,37.5,0.3674545454545455,0.06470273500001866
90,38.0,0.3624090909090909,0.06228589912768139
91,38.5,0.3585,0.051389719841910084
92,39.0,0.35509090909090907,0.042471277148843356
93,39.5,0.35413636363636364,0.021652580400163837
94,40.0,0.3525,0.03036237893395683
95,40.5,0.3489090909090909,0.021145618484876394
96,41.0,0.3453636363636364,0.00419414417297818
97,41.5,0.3421818181818182,0.03242328000366987
98,42.0,0.3327727272727273,0.0468485215921495
99,42.5,0.3300909090909091,0.027096749134830053
100,43.0,0.32727272727272727,0.028851683546409705
101,43.5,0.3236818181818182,0.028121287762007716
102,44.0,0.32745454545454544,0.06283989624004407
103,44.5,0.3250454545454545,0.039114985660852336
104,45.0,0.322,0.028237690733316216
105,45.5,0.3205454545454545,0.03594015341369546
106,46.0,0.3161818181818182,0.02426900096632699
107,46.5,0.3130909090909091,0.03134190401689669
108,47.0,0.3113181818181818,0.02347647183069827
109,47.5,0.30836363636363634,0.0186396169910616
