x,y
37.0,-33.0
57.0,-55.0
15.0,-52.0
26.0,-43.0
-24.0,-44.0
-18.0,36.0
-55.0,5.0
52.0,-49.0
40.0,13.0
73.0,46.0
13.0,1.0
51.0,27.0
16.0,6.0
49.0,-46.0
-5.0,-17.0
-36.0,-5.0
17.0,7.0
-24.0,-31.0
-18.0,49.0
68.0,52.0
-14.0,19.0
-2.0,-7.0
14.0,-63.0
-72.0,50.0
-71.0,15.0
-8.0,71.0
-48.0,-1.0
71.0,-45.0
28.0,-7.0
-69.0,60.0
-3.0,5.0
57.0,56.0
-45.0,8.0
75.0,-39.0
-53.0,4.0
-20.0,-48.0
8.0,20.0
-41.0,-22.0
20.0,-6.0
25.0,-40.0
-16.0,71.0
-10.0,2.0
-52.0,5.0
-60.0,1.0
14.0,-50.0
54.0,23.0
-40.0,-21.0
26.0,-76.0
13.0,-9.0
44.0,58.0
-31.0,64.0
70.0,-33.0
-18.0,3.0
-67.0,-2.0
-7.0,12.0
-17.0,84.0
-33.0,-4.0
-22.0,5.0
52.0,-46.0
-36.0,70.0
39.0,-16.0
50.0,30.0
-64.0,8.0
-4.0,59.0
-72.0,4.0
20.0,7.0
60.0,43.0
-50.0,28.0
55.0,-36.0
-27.0,11.0
-7.0,-11.0
53.0,40.0
79.0,-51.0
16.0,9.0
63.0,-59.0
82.0,-46.0
48.0,-39.0
26.0,22.0
-49.0,28.0
-3.0,-5.0
38.0,33.0
78.0,69.0
54.0,-23.0
27.0,23.0
11.0,15.0
-43.0,44.0
71.0,66.0
-24.0,57.0
2.0,-34.0
60.0,56.0
32.0,-6.0
16.0,-14.0
17.0,-49.0
-38.0,15.0
-7.0,2.0
-15.0,-1.0
-14.0,-37.0
-22.0,-41.0
56.0,58.0
-17.0,74.0
62.0,-42.0
33.0,-69.0
-21.0,-40.0
-29.0,-44.0
-16.0,38.0
-10.0,-31.0
10.0,-53.0
-32.0,-50.0
66.0,-36.0
12.0,-7.0
-42.0,22.0
-18.0,-30.0
41.0,56.0
-7.0,-21.0
34.0,17.0
-61.0,8.0
-17.0,51.0
-37.0,-7.0
-46.0,24.0
15.0,3.0
-6.0,-20.0
26.0,12.0
-68.0,5.0
18.0,8.0
15.0,39.0
27.0,13.0
-54.0,25.0
66.0,-59.0
11.0,5.0
13.0,-65.0
71.0,56.0
4.0,-34.0
-77.0,41.0
-74.0,46.0
-73.0,11.0
60.0,46.0
25.0,25.0
44.0,38.0
77.0,-45.0
14.0,15.0
38.0,0.0
-17.0,64.0
42.0,-30.0
15.0,16.0
73.0,-43.0
19.0,-14.0
39.0,-36.0
-70.0,57.0
-86.0,49.0
60.0,23.0
-50.0,8.0
10.0,22.0
35.0,-34.0
-74.0,59.0
-34.0,-48.0
-61.0,-2.0
-15.0,-35.0
58.0,-45.0
22.0,32.0
-4.0,-20.0
-59.0,44.0
-25.0,-43.0
61.0,-40.0
-39.0,22.0
-33.0,-47.0
-14.0,-34.0
31.0,-63.0
-65.0,0.0
-18.0,81.0
-53.0,-26.0
62.0,-39.0
11.0,-5.0
-42.0,-11.0
-31.0,-1.0
-33.0,74.0
-13.0,52.0
52.0,32.0
25.0,15.0
49.0,-37.0
14.0,5.0
66.0,52.0
-28.0,8.0
30.0,-51.0
50.0,-36.0
15.0,6.0
0.0,-37.0
18.0,11.0
11.0,-28.0
31.0,-50.0
69.0,62.0
33.0,-4.0
25.0,-8.0
-29.0,21.0
45.0,-30.0
-44.0,41.0
-72.0,59.0
-40.0,11.0
34.0,-3.0
46.0,-29.0
-39.0,12.0
-47.0,8.0
18.0,-12.0
-82.0,50.0
-66.0,-6.0
-20.0,-39.0
-54.0,5.0
-13.0,6.0
-42.0,-21.0
72.0,-36.0
-10.0,11.0
64.0,-40.0
50.0,62.0
-19.0,-38.0
-33.0,64.0
41.0,13.0
-27.0,-42.0
-9.0,12.0
51.0,26.0
43.0,22.0
49.0,-47.0
-46.0,-19.0
-5.0,-18.0
74.0,46.0
-39.0,-11.0
43.0,58.0
16.0,41.0
17.0,6.0
-24.0,-32.0
-38.0,70.0
-18.0,48.0
-15.0,53.0
-14.0,18.0
-35.0,-5.0
6.0,-4.0
52.0,-37.0
31.0,-60.0
84.0,-48.0
-14.0,54.0
34.0,-49.0
53.0,-36.0
-75.0,44.0
3.0,-37.0
-52.0,27.0
15.0,-63.0
13.0,13.0
-42.0,77.0
-71.0,50.0
43.0,35.0
-5.0,-5.0
36.0,-4.0
7.0,-31.0
67.0,20.0
-70.0,14.0
76.0,68.0
29.0,-7.0
-26.0,57.0
-15.0,66.0
12.0,-60.0
-10.0,1.0
50.0,52.0
-41.0,13.0
57.0,-53.0
-72.0,62.0
43.0,12.0
-48.0,10.0
-47.0,-25.0
18.0,-45.0
-55.0,-29.0
-30.0,64.0
-24.0,-42.0
55.0,22.0
47.0,18.0
31.0,-70.0
-23.0,-41.0
49.0,64.0
42.0,25.0
-13.0,9.0
-29.0,1.0
64.0,-37.0
-71.0,4.0
-51.0,-18.0
-41.0,26.0
13.0,3.0
51.0,29.0
43.0,25.0
-19.0,50.0
48.0,-40.0
-15.0,20.0
68.0,54.0
40.0,-8.0
-14.0,21.0
-68.0,50.0
-2.0,-5.0
58.0,46.0
60.0,55.0
-42.0,44.0
70.0,-44.0
35.0,-2.0
55.0,-24.0
15.0,-60.0
-48.0,0.0
53.0,52.0
72.0,65.0
24.0,25.0
65.0,26.0
71.0,-43.0
56.0,57.0
64.0,61.0
-24.0,-52.0
-18.0,28.0
-13.0,-37.0
-21.0,-41.0
-3.0,7.0
58.0,23.0
-10.0,-32.0
-44.0,-25.0
-53.0,6.0
-52.0,-29.0
8.0,22.0
27.0,35.0
19.0,31.0
25.0,-38.0
-16.0,73.0
-17.0,-35.0
-11.0,8.0
-60.0,3.0
20.0,32.0
-48.0,-23.0
26.0,-74.0
-36.0,-49.0
-26.0,1.0
-34.0,-3.0
-55.0,-26.0
-35.0,-48.0
-5.0,60.0
15.0,38.0
-39.0,67.0
-33.0,-2.0
-64.0,10.0
-43.0,69.0
31.0,18.0
78.0,-50.0
23.0,14.0
24.0,-21.0
-79.0,3.0
55.0,-34.0
47.0,-38.0
53.0,42.0
49.0,8.0
48.0,-37.0
26.0,24.0
67.0,62.0
46.0,39.0
-3.0,-3.0
-57.0,26.0
70.0,67.0
30.0,-6.0
49.0,44.0
-70.0,56.0
50.0,9.0
61.0,18.0
0.0,8.0
-54.0,37.0
20.0,-14.0
-16.0,63.0
31.0,-5.0
-42.0,11.0
43.0,-31.0
-85.0,49.0
-11.0,-2.0
14.0,-58.0
-13.0,74.0
52.0,54.0
16.0,-12.0
17.0,-47.0
-84.0,50.0
-15.0,0.0
-17.0,76.0
-58.0,44.0
-12.0,11.0
21.0,-41.0
-33.0,-12.0
33.0,-67.0
18.0,33.0
11.0,-6.0
-43.0,23.0
-11.0,-25.0
-32.0,-48.0
-41.0,-17.0
41.0,22.0
-42.0,24.0
-50.0,20.0
75.0,51.0
35.0,-22.0
-38.0,-6.0
-7.0,-19.0
53.0,32.0
-69.0,6.0
-17.0,53.0
-37.0,-5.0
-32.0,73.0
14.0,40.0
-34.0,0.0
-67.0,52.0
-47.0,30.0
-68.0,7.0
-76.0,3.0
70.0,57.0
48.0,38.0
-14.0,63.0
-8.0,-6.0
71.0,58.0
4.0,-32.0
59.0,-60.0
-10.0,69.0
-17.0,30.0
77.0,-43.0
9.0,-61.0
