,gamma,sample_rate,relative_error
0,0.2,0.05854901960784314,0.2832529927657704
1,0.4,0.09245098039215686,0.07930002544703088
2,0.6000000000000001,0.037274509803921566,0.7221484772657969
3,0.8,0.10856862745098039,0.5754367278259938
4,1.0,0.13980392156862745,0.5306049226364613
5,1.2,0.14841176470588235,0.20859442041983497
6,1.4000000000000001,0.19058823529411764,0.12453056656121969
7,1.6,0.2498627450980392,0.13802933598504138
8,1.8,0.2887647058823529,0.08600670636639644
9,2.0,0.31813725490196076,0.13361313231485836
10,2.2,0.3636862745098039,0.11375659832036325
11,2.4000000000000004,0.39229411764705885,0.05833143705139321
12,2.6000000000000005,0.42911764705882355,0.037711378724575674
13,2.8000000000000003,0.462078431372549,0.029195682999103627
14,3.0000000000000004,0.49645098039215685,0.014791141881294538
15,3.2,0.5304901960784314,0.008971762892874146
16,3.4000000000000004,0.5640588235294117,0.024233628409815862
17,3.6000000000000005,0.5932745098039216,0.016276552213902958
18,3.8000000000000003,0.6230196078431373,0.01380180867851324
19,4.0,0.6525882352941177,0.008122479998601643
20,4.2,0.6785686274509803,0.015101605400186062
21,4.4,0.7010392156862745,0.007722423991209284
22,4.6000000000000005,0.716843137254902,0.007915775629826212
23,4.800000000000001,0.7310980392156863,0.011818295558777139
24,5.0,0.7379411764705882,0.020072078251824346
25,6.0,0.7594509803921569,0.021998747946899242
26,7.0,0.7512549019607843,0.011788864391331878
27,8.0,0.7244705882352941,0.010063004986489254
28,9.0,0.6942549019607843,0.01179563857387933
29,10.0,0.6620196078431373,0.01057242603278594
30,11.0,0.6259607843137255,0.007386677135801594
31,12.0,0.5966862745098039,0.011813921352321918
32,13.0,0.571078431372549,0.0017891321917890618
33,14.0,0.5450588235294118,0.01125743292887608
34,15.0,0.5227450980392156,0.002060948011451242
35,16.0,0.5014509803921569,0.0023370178728785935
36,17.0,0.47431372549019607,0.01732464307779027
37,18.0,0.4554313725490196,0.013479630901750639
38,19.0,0.44172549019607843,0.021377887247939025
39,20.0,0.4257843137254902,0.008016325513855251
40,21.0,0.4076078431372549,0.020919538514452423
41,22.0,0.3947843137254902,0.015776032642809037
42,23.0,0.3779607843137255,0.009166149441223305
43,24.0,0.36633333333333334,0.0003778776198936937
44,25.0,0.35558823529411765,0.01502213067120866
45,26.0,0.34419607843137257,0.013961879336850162
46,27.0,0.3359607843137255,0.03374872502461438
47,28.0,0.3254313725490196,0.03261720431105451
48,29.0,0.3182745098039216,0.026697620368047917
