t,cov_v_theory,cov_v_sim
0.0,0.3138451019122911,0.3138451019122911
0.001,0.3135314136806353,0.31362148023159026
0.002,0.31321803898041933,0.3131676840921344
0.003,0.31290497749826846,0.31257466987555793
0.004,0.31259222892112115,0.31215108473605435
0.005,0.3122797929362288,0.31158488458664046
0.006,0.31196766923115543,0.31088102839809395
0.007,0.3116558574937773,0.3109549798455854
0.008,0.31134435741228256,0.3110896574054316
0.009000000000000001,0.3110331686751712,0.31050031473272244
0.01,0.31072229097125453,0.31030612389358286
0.011,0.3104117239896546,0.3100077631039244
0.012,0.3101014674198046,0.30956848432716005
0.013000000000000001,0.30979152095144785,0.3090635588340589
0.014,0.30948188427463785,0.308957585113676
0.015,0.30917255707973795,0.3089763179917004
0.016,0.30886353905742087,0.30870100000545914
0.017,0.3085548298986686,0.3084977846459987
0.018000000000000002,0.3082464292947719,0.30822437568950906
0.019,0.30793833693733025,0.30838034308826995
0.02,0.3076305525182511,0.3076109346934817
0.021,0.3073230757297502,0.30672203242460155
0.022,0.3070159062643506,0.3064254287411677
0.023,0.30670904381488284,0.30620104463173514
0.024,0.3064024880744845,0.3052480073010237
0.025,0.3060962387365997,0.30486594026345026
0.026000000000000002,0.3057902954949792,0.30416365071031143
0.027,0.30548465804367964,0.30347853905282934
0.028,0.3051793260770636,0.3026759580179723
0.029,0.3048742992897991,0.3023510610482251
0.03,0.30456957737685925,0.3018774621683917
0.031,0.30426516003352216,0.30138356645593634
0.032,0.30396104695537046,0.3006944340881331
0.033,0.30365723783829107,0.3005073037943452
0.034,0.3033537323784748,0.3003345567633199
0.035,0.3030505302724162,0.3001021768166499
0.036000000000000004,0.30274763121691317,0.2993194091526806
0.037,0.30244503490906655,0.2990843201788034
0.038,0.30214274104628,0.2989810863966547
0.039,0.3018407493262597,0.2992178641072675
0.04,0.30153905944701387,0.29839877783961016
0.041,0.3012376711068526,0.2981881629359327
0.042,0.3009365840043876,0.2981025729536454
0.043000000000000003,0.30063579783853167,0.2976485684688852
0.044,0.30033531230849864,0.29743783409572294
0.045,0.3000351271138029,0.29728879229290267
0.046,0.2997352419542593,0.29746264219318397
0.047,0.2994356565299826,0.29739098167060457
0.048,0.2991363705413874,0.2975419386006014
0.049,0.2988373836891877,0.29740733602057623
0.05,0.2985386956743966,0.29697394757690554
0.051000000000000004,0.29824030619832603,0.2966672725855284
0.052000000000000005,0.2979422149625865,0.29629516151361984
0.053,0.2976444216690868,0.29625139580175464
0.054,0.29734692602003354,0.2955236482120608
0.055,0.29704972771793103,0.29564912895471857
0.056,0.2967528264655811,0.2952527575838164
0.057,0.2964562219660823,0.2953825022644083
0.058,0.29615991392283014,0.29467056262612695
0.059000000000000004,0.2958639020395166,0.2944614378048717
0.06,0.29556818602012985,0.2940967948187735
0.061,0.29527276556895365,0.29384089463075935
0.062,0.2949776403905676,0.29393904065275384
0.063,0.2946828101898466,0.29359088393261257
0.064,0.2943882746719603,0.2932210895681531
0.065,0.2940940335423733,0.2925906861720861
0.066,0.29380008650684425,0.292806928064859
0.067,0.2935064332714262,0.29225799327663976
0.068,0.2932130735424659,0.2921937047765107
0.069,0.2929200070266036,0.29217959987026615
0.07,0.29262723343077274,0.2923451397887659
0.07100000000000001,0.29233475246219964,0.2917886478133214
0.07200000000000001,0.2920425638284034,0.29195853555587037
0.073,0.29175066723719534,0.2916126002988547
0.074,0.2914590623966788,0.2912067719150876
0.075,0.2911677490152489,0.2904393624744514
0.076,0.2908767268015923,0.28987718770010995
0.077,0.29058599546468683,0.2899699906295762
0.078,0.290295554713801,0.2891274718301036
0.079,0.290005404258494,0.28845061004910316
0.08,0.2897155438086155,0.28759014125907667
0.081,0.28942597307430495,0.2877666244590446
0.082,0.2891366917659916,0.2871703922583343
0.083,0.28884769959439405,0.28690929644816043
0.084,0.28855899627052023,0.2865881629263733
0.085,0.2882705815056667,0.28614957582993716
0.08600000000000001,0.28798245501141867,0.28557553526657364
0.08700000000000001,0.28769461649964967,0.28532570139767505
0.088,0.28740706568252117,0.28480932994781827
0.089,0.2871198022724823,0.28403477870363486
0.09,0.2868328259822696,0.28377610360377276
0.091,0.2865461365249068,0.28278683441166264
0.092,0.2862597336137044,0.2823983596139515
0.093,0.2859736169622595,0.28204904175714063
0.094,0.28568778628445535,0.281795192155275
0.095,0.2854022412944613,0.28170388305895816
0.096,0.28511698170673233,0.28152704172720155
0.097,0.2848320072360088,0.2811101307830047
0.098,0.28454731759731633,0.2811319331137949
0.099,0.2842629125059651,0.28047828814043113
0.1,0.28397879167755,0.2798007157288742
0.101,0.28369495482795043,0.27924517339899807
0.10200000000000001,0.2834114016733292,0.2786110062582936
0.10300000000000001,0.28312813193013325,0.2786623985142774
0.10400000000000001,0.28284514531509286,0.2782813713058699
0.105,0.28256244154522137,0.27813632875757927
0.106,0.2822800203378149,0.27791117348700317
0.107,0.28199788141045234,0.2777679053333591
0.108,0.28171602448099475,0.27700321424084196
0.109,0.28143444926758504,0.27662516951160615
0.11,0.28115315548864805,0.2766421147677383
0.111,0.28087214286289003,0.2757489754269007
0.112,0.28059141110929825,0.27563703347940943
0.113,0.28031095994714095,0.2749011746333998
0.114,0.28003078909596696,0.27477409109009143
0.115,0.2797508982756054,0.2746256887096108
0.116,0.2794712872061655,0.27452265272572796
0.117,0.279191955608036,0.2740202633445526
0.11800000000000001,0.2789129032018854,0.27389142096821834
0.11900000000000001,0.27863412970866125,0.2736792839975848
0.12,0.27835563484959003,0.27288081911190154
0.121,0.27807741834617683,0.273042719280421
0.122,0.2777994799202052,0.27238337617389063
0.123,0.2775218192937366,0.2717733171060475
0.124,0.27724443618911043,0.27144255120541877
0.125,0.2769673303289436,0.27099105203738455
0.126,0.2766905014361301,0.27055865194834217
0.127,0.27641394923384116,0.2708032289217837
0.128,0.2761376734455244,0.2705451781351665
0.129,0.27586167379490417,0.2704325951540146
0.13,0.27558595000598074,0.26977402098421377
0.131,0.27531050180303024,0.26913675062397596
0.132,0.2750353289106045,0.26891463495441675
0.133,0.2747604310535306,0.2689971395272969
0.134,0.27448580795691063,0.26934268917421805
0.135,0.2742114593461215,0.26937217004240216
0.136,0.2739373849468145,0.2690811055683148
0.137,0.2736635844849154,0.26823745088045486
0.138,0.2733900576866235,0.2679930855080002
0.139,0.2731168042784121,0.2682487819106721
0.14,0.2728438239870278,0.26828775511185987
0.14100000000000001,0.2725711165394901,0.2678685097314776
0.14200000000000002,0.27229868166309174,0.26777687782631787
0.14300000000000002,0.2720265190853977,0.26713971617855253
0.14400000000000002,0.2717546285342454,0.26666168762459014
0.145,0.27148300973774436,0.2668685782808703
0.146,0.27121166242427563,0.2668489809468856
0.147,0.2709405863224919,0.26659053533897775
0.148,0.2706697811613171,0.26647415534792196
0.149,0.27039924666994597,0.2663122170465874
0.15,0.2701289825778441,0.26611394708450054
0.151,0.26985898861474733,0.2655256717370483
0.152,0.2695892645106616,0.2653463267108113
0.153,0.2693198099958629,0.2649804436076263
0.154,0.26905062480089664,0.2644535169382339
0.155,0.2687817086565775,0.2642280146416793
0.156,0.26851306129398955,0.2647656918442887
0.157,0.26824468244448524,0.26446402106974853
0.158,0.26797657183968565,0.2643245072186315
0.159,0.2677087292114803,0.2637629479947368
0.16,0.2674411542920265,0.26356380845200755
0.161,0.26717384681374917,0.2629659864017999
0.162,0.266906806509341,0.262299511152006
0.163,0.2666400331117616,0.2621659419457714
0.164,0.2663735263542375,0.261748818842257
0.165,0.26610728597026195,0.261035475874032
0.166,0.2658413116935945,0.26080804016824544
0.167,0.26557560325826096,0.26045076128000505
0.168,0.2653101603985528,0.25993223606869964
0.169,0.26504498284902717,0.2590933829011381
0.17,0.2647800703445064,0.25896681861619064
0.171,0.2645154226200781,0.2591021129208175
0.17200000000000001,0.26425103941109446,0.25870101763525366
0.17300000000000001,0.26398692045317224,0.25807387243015667
0.17400000000000002,0.26372306548219243,0.25782889911535156
0.17500000000000002,0.26345947423430016,0.25678286171150033
0.176,0.26319614644590406,0.2564956953507112
0.177,0.26293308185367625,0.2560911132048666
