temperature,energy,Cv,magnetization
3.2,-240.6204837582434,94.75673112505234,0.009463078094960616
3.1,-251.8614047674965,108.9666420569221,0.012775335004945168
3.0,-264.0043656971401,120.41831322083372,0.009923337971109848
2.9,-276.02976663288445,144.32888935226052,0.03224297304118188
2.8,-287.1930106463027,149.3736196652467,0.021145253828399817
2.7,-303.7485346607018,183.03822332238843,0.01122961294041498
2.6,-325.83665675601003,230.10430662123528,0.010707512119801003
2.5,-353.57276667540606,288.01295248498445,0.08819964180556701
2.45,-363.3848134829577,328.3448992122842,0.06917100140076982
2.4,-388.0385430475008,357.97182894515475,0.01429344549010221
2.35,-400.094875991427,397.0149056823393,0.12486977479196096
2.3,-417.53766077351946,403.4823125186364,0.4512529470918014
2.25,-441.4001598013664,353.1261387424842,0.21011269981248254
2.2,-458.213425777217,322.3087831904901,0.14571266270187191
2.15,-476.0460518554925,304.86063476259784,0.8428519009198395
2.1,-489.7756333657615,281.8537736263642,0.8677086528703769
2.05,-503.44372941522585,227.37099335680995,0.8963314053267043
2.0,-514.0558455473864,244.69102125786594,0.9104758210726227
1.9,-540.8581963080026,193.27657085245502,0.9501108213186436
1.8,-557.8221869622602,183.95940486969067,0.9576125305234543
1.7,-577.3332052805275,192.06457379556846,0.9697807348161158
1.6,-596.8439270906238,145.09029927162373,0.9828607612437131
1.5,-615.790031133045,197.13497193530202,0.9926019266397197
1.4,-630.1426756136373,218.75792498987198,0.9990313164155402
1.3,-653.9643208063831,234.57802414161165,0.9963841629454012
1.2,-680.9422714257996,348.12344266481676,1.032858305296075
1.1,-728.8059024660436,221.76002181194767,1.1283415690695706
1.0,-756.2480686327772,154.1224366242531,1.1854076714940396
0.9,-777.8477623634677,167.65654888018432,1.2216351393089109
0.8,-792.5373532032748,206.77110065753368,1.2468969019969176
0.7,-809.9152403378822,164.34601907931943,1.2369723874727567
0.6000000000000001,-827.5300180284315,132.02668895440485,1.2565932164439093
0.5000000000000002,-839.7228318604858,133.59448921727005,1.2771285478867715
0.40000000000000036,-852.8622140332345,126.73816343303749,1.3253091962796233
0.30000000000000027,-864.9155487428229,130.78521297882392,1.3429831754906245
0.20000000000000018,-877.2696322008386,107.78460605069976,1.3760185433849272
0.1,-888.7573213490211,115.64180365530774,1.3962947149120637
