x,y
5,32
-49,61
-3,28
112,15
-10,-11
104,11
50,40
-45,31
2,-37
-92,-44
-127,-2
-127,-1
-54,68
-115,-28
-124,3
-123,-32
-17,-14
-31,51
3,-36
-52,28
-51,-7
35,-4
7,-66
-48,-1
99,17
4,45
-90,1
65,24
-89,-34
-30,52
17,-16
-38,48
-37,13
-97,-38
88,44
-6,0
-14,-4
100,18
-62,-44
92,14
-89,2
-96,-37
98,57
-25,23
-93,-32
-53,4
81,4
-61,-80
31,3
3,-59
14,-50
0,52
-113,-5
-62,77
-42,55
32,4
-50,51
64,36
-57,-74
95,60
-58,-33
87,56
7,-53
-7,12
-54,-63
-108,-34
6,-49
65,37
-117,-3
119,8
57,33
-78,-12
-93,-55
-48,96
79,57
58,34
71,53
-104,-28
-4,59
0,29
114,14
-8,25
-61,-67
-42,32
51,-6
-50,28
-11,19
-27,11
88,-1
72,53
-50,64
64,49
3,39
-26,12
-120,-32
67,60
46,37
-22,-18
6,-36
-64,-15
90,43
-45,-2
102,17
81,-6
-128,0
-87,1
-21,-17
-116,-26
39,-3
-29,-21
-31,18
2,-34
-59,-44
0,42
-94,-1
13,-19
56,22
2,51
76,0
87,46
-41,89
-15,-2
46,14
86,50
-49,5
-89,-31
-108,-44
-62,-77
89,55
-105,-39
-86,-26
-40,90
-48,86
-35,25
-75,-11
90,56
42,16
-51,-63
54,-10
-59,-67
-114,-3
-94,-25
12,-7
-43,57
-2,58
72,7
-58,-66
-113,-2
-113,-1
5,-47
56,35
-97,-58
-38,28
3,29
9,-40
76,13
-5,25
68,9
-48,63
113,17
6,-46
-96,-57
71,20
91,-1
-4,26
42,-7
91,-2
-53,-16
-93,-52
-60,-55
-47,64
-114,-26
60,10
-43,34
4,-34
-31,8
-125,1
-11,-14
-113,-25
87,0
60,46
34,-6
52,42
-61,-15
13,-29
-42,35
-91,-7
-50,31
-52,70
-27,14
-60,66
-49,-5
38,0
89,45
-64,-48
-4,3
-59,67
-99,-6
-39,45
80,-4
-48,76
-95,-36
30,-5
-64,-12
-63,-47
-106,-9
41,10
-42,12
-50,8
-31,21
16,-47
-44,51
-101,-38
93,56
-69,-6
5,-57
85,52
-109,-42
-44,87
-111,-3
9,-50
-60,79
15,-7
55,29
-99,-29
-48,53
86,53
-36,27
89,58
-64,-35
63,6
42,-17
-106,-32
-47,54
-87,-19
-60,-65
11,-5
-3,60
-50,-15
-91,-53
-84,-8
-113,-35
73,55
-102,-26
-1,61
-110,-30
45,-7
-46,-9
15,-30
-40,34
-88,-6
-28,8
70,22
-51,61
55,42
-12,-11
8,-33
59,49
-62,-12
-129,-2
-43,1
-96,-5
-126,3
69,62
102,10
-60,-52
-94,-45
-29,21
-45,76
22,-14
-27,-19
-40,11
-68,-51
-42,87
78,3
-103,-9
-65,-46
89,12
-64,-81
-32,51
15,-17
55,19
-39,12
47,15
-107,-43
26,-8
99,62
79,4
-64,-45
90,13
82,9
48,16
-106,-42
-60,-75
41,-23
12,-50
44,-18
4,-54
-10,11
116,7
-20,-3
62,36
41,13
33,9
-115,-6
-9,12
-64,76
82,-14
-99,-26
-107,-30
8,-43
-6,22
-49,60
-3,27
112,14
63,9
58,43
104,10
50,39
83,-13
-85,-6
69,52
115,19
61,48
-61,-58
-2,28
-115,-29
-124,2
-45,66
-51,-8
108,16
-100,-13
-42,77
-57,-52
-30,51
-47,-2
100,17
79,-6
-16,-15
-37,48
-105,-7
-46,79
68,64
29,-7
-85,-29
21,-11
-34,53
-60,-85
-13,-4
5,44
-62,-9
-44,8
-84,-28
-93,3
0,51
-61,-45
93,13
84,50
95,59
-58,-34
87,55
7,-54
-42,90
-70,-9
36,9
-37,25
55,22
-86,-17
1,51
96,60
0,-57
-22,4
-62,-32
58,33
-96,-25
-4,58
80,51
-100,-59
-61,-68
-116,-4
44,-15
-112,-34
-51,-18
-100,-23
14,-38
4,34
72,52
-50,63
-57,-62
-38,37
-46,33
