x,y
-13.0,-71.0
18.0,-4.0
6.0,-58.0
-137.0,122.0
-65.0,-1.0
50.0,-15.0
-65.0,-2.0
-52.0,-63.0
11.0,-7.0
76.0,122.0
-86.0,60.0
82.0,-127.0
1.0,-52.0
133.0,104.0
3.0,-6.0
-135.0,60.0
-8.0,-128.0
-22.0,-63.0
-91.0,66.0
-103.0,12.0
98.0,2.0
84.0,104.0
-4.0,-9.0
-59.0,55.0
-133.0,106.0
59.0,47.0
-82.0,71.0
45.0,-117.0
31.0,-52.0
-24.0,12.0
17.0,50.0
-66.0,15.0
-80.0,117.0
-8.0,-7.0
-149.0,17.0
24.0,-55.0
-18.0,-52.0
-32.0,13.0
-34.0,-60.0
-129.0,117.0
-57.0,-44.0
-112.0,20.0
3.0,7.0
77.0,-44.0
-25.0,-55.0
61.0,-52.0
-94.0,74.0
107.0,64.0
126.0,77.0
-22.0,-50.0
19.0,-49.0
-36.0,15.0
-55.0,2.0
79.0,2.0
-119.0,17.0
-37.0,56.0
-133.0,119.0
-101.0,71.0
67.0,-116.0
86.0,-103.0
72.0,-38.0
89.0,131.0
75.0,4.0
-140.0,79.0
80.0,82.0
-36.0,-93.0
65.0,-41.0
137.0,64.0
63.0,-114.0
156.0,77.0
-48.0,18.0
12.0,69.0
58.0,-44.0
-71.0,71.0
-30.0,72.0
-63.0,-105.0
28.0,13.0
-39.0,23.0
88.0,64.0
0.0,-49.0
93.0,142.0
-110.0,79.0
-97.0,18.0
-37.0,69.0
-92.0,133.0
68.0,85.0
35.0,-92.0
40.0,23.0
26.0,88.0
141.0,75.0
-136.0,26.0
53.0,-38.0
70.0,131.0
-63.0,16.0
0.0,72.0
-97.0,139.0
-106.0,90.0
-53.0,-84.0
-67.0,18.0
7.0,-33.0
62.0,-97.0
114.0,93.0
-148.0,93.0
72.0,96.0
-109.0,21.0
-54.0,-43.0
-44.0,-79.0
0.0,-36.0
41.0,-35.0
-74.0,-22.0
65.0,93.0
-130.0,83.0
-67.0,-90.0
67.0,139.0
125.0,80.0
-35.0,-138.0
56.0,-20.0
-44.0,42.0
83.0,83.0
-77.0,94.0
97.0,-19.0
-65.0,-81.0
-5.0,-30.0
13.0,24.0
159.0,78.0
-81.0,96.0
6.0,-16.0
39.0,-68.0
-65.0,40.0
41.0,-22.0
-6.0,-134.0
-75.0,32.0
30.0,48.0
71.0,86.0
90.0,99.0
7.0,101.0
20.0,40.0
-13.0,-137.0
166.0,94.0
-49.0,-60.0
-77.0,107.0
-5.0,-17.0
-38.0,35.0
-8.0,-86.0
159.0,91.0
66.0,-137.0
30.0,-60.0
43.0,-121.0
48.0,-6.0
-13.0,-16.0
6.0,-3.0
-82.0,113.0
78.0,102.0
-52.0,-8.0
77.0,-123.0
27.0,56.0
-25.0,-134.0
113.0,96.0
-6.0,-121.0
11.0,48.0
30.0,61.0
-22.0,-129.0
-17.0,-14.0
84.0,38.0
-4.0,-75.0
1.0,3.0
-13.0,-124.0
59.0,-19.0
18.0,-57.0
-10.0,-119.0
